Data;Cliente ID;Produto SKU;Qtde
01/01/2019;C0030;AS002;865
02/01/2019;C0004;VS002;728
03/01/2019;C0027;AT002;543
04/01/2019;C0001;AS003;829
07/01/2019;C0002;VS001;812
08/01/2019;C0015;AS004;740
09/01/2019;C0003;AS005;716
10/01/2019;C0007;VS003;790
11/01/2019;C0010;VS004;997
14/01/2019;C0008;VS005;601
15/01/2019;C0009;CS001;542
16/01/2019;C0011;CT001;821
17/01/2019;C0014;CL001;791
18/01/2019;C0016;CL002;998
21/01/2019;C0017;CT002;1074
22/01/2019;C0018;CT003;701
23/01/2019;C0021;CS004;821
24/01/2019;C0022;AL001;536
25/01/2019;C0023;AL002;755
28/01/2019;C0024;AS001;610
29/01/2019;C0025;CS003;999
30/01/2019;C0028;AT001;931
31/01/2019;C0029;CS002;584
01/02/2019;C0013;AS002;592
04/02/2019;C0006;VS002;599
05/02/2019;C0026;AT002;682
06/02/2019;C0020;AS003;920
07/02/2019;C0005;VS001;540
08/02/2019;C0012;AS004;513
11/02/2019;C0019;AS005;672
12/02/2019;C0030;VS003;618
13/02/2019;C0004;VS004;505
14/02/2019;C0027;VS005;557
15/02/2019;C0001;CS001;551
18/02/2019;C0002;CT001;739
19/02/2019;C0015;CL001;879
20/02/2019;C0003;CL002;829
21/02/2019;C0007;CT002;567
22/02/2019;C0010;CT003;561
25/02/2019;C0008;CS004;1042
26/02/2019;C0009;AL001;510
27/02/2019;C0011;AL002;725
28/02/2019;C0014;AS001;532
01/03/2019;C0016;CS003;899
04/03/2019;C0017;AT001;805
05/03/2019;C0018;CS002;988
06/03/2019;C0021;AS002;531
07/03/2019;C0022;VS002;609
08/03/2019;C0023;AT002;874
11/03/2019;C0024;AS003;602
12/03/2019;C0025;VS001;847
13/03/2019;C0028;AS004;571
14/03/2019;C0029;AS005;735
15/03/2019;C0013;VS003;867
18/03/2019;C0006;VS004;1056
19/03/2019;C0026;VS005;574
20/03/2019;C0020;CS001;929
21/03/2019;C0005;CT001;1069
22/03/2019;C0012;CL001;925
25/03/2019;C0019;CL002;1009
26/03/2019;C0030;CT002;700
27/03/2019;C0004;CT003;592
28/03/2019;C0027;CS004;1041
29/03/2019;C0001;AL001;763
01/04/2019;C0002;AL002;895
02/04/2019;C0015;AS001;533
03/04/2019;C0003;CS003;1048
04/04/2019;C0007;AT001;631
05/04/2019;C0010;CS002;827
08/04/2019;C0008;AS002;926
09/04/2019;C0009;VS002;507
10/04/2019;C0011;AT002;894
11/04/2019;C0014;AS003;973
12/04/2019;C0016;VS001;514
15/04/2019;C0017;AS004;801
16/04/2019;C0018;AS005;914
17/04/2019;C0021;VS003;539
18/04/2019;C0022;VS004;859
19/04/2019;C0023;VS005;521
22/04/2019;C0024;CS001;586
23/04/2019;C0025;CT001;512
24/04/2019;C0028;CL001;830
25/04/2019;C0029;CL002;605
26/04/2019;C0013;CT002;815
29/04/2019;C0006;CT003;538
30/04/2019;C0026;CS004;1048
01/05/2019;C0020;AL001;546
02/05/2019;C0005;AL002;617
03/05/2019;C0012;AS001;765
06/05/2019;C0019;CS003;720
07/05/2019;C0030;AT001;1061
08/05/2019;C0004;CS002;617
09/05/2019;C0027;AS002;966
10/05/2019;C0001;VS002;1051
13/05/2019;C0002;AT002;669
14/05/2019;C0015;AS003;1100
15/05/2019;C0003;VS001;1016
16/05/2019;C0007;AS004;907
17/05/2019;C0010;AS005;526
20/05/2019;C0008;VS003;949
21/05/2019;C0009;VS004;646
22/05/2019;C0011;VS005;584
23/05/2019;C0014;CS001;878
24/05/2019;C0016;CT001;1033
27/05/2019;C0017;CL001;978
28/05/2019;C0018;CL002;804
29/05/2019;C0021;CT002;1023
30/05/2019;C0022;CT003;1070
31/05/2019;C0023;CS004;812
03/06/2019;C0024;AL001;590
04/06/2019;C0025;AL002;679
05/06/2019;C0028;AS001;573
06/06/2019;C0029;CS003;1075
07/06/2019;C0013;AT001;658
10/06/2019;C0006;CS002;817
11/06/2019;C0026;AS002;644
12/06/2019;C0020;VS002;742
13/06/2019;C0005;AT002;867
14/06/2019;C0012;AS003;822
17/06/2019;C0019;VS001;1063
18/06/2019;C0030;AS004;634
19/06/2019;C0004;AS005;582
20/06/2019;C0027;VS003;757
21/06/2019;C0001;VS004;540
24/06/2019;C0002;VS005;584
25/06/2019;C0015;CS001;587
26/06/2019;C0003;CT001;857
27/06/2019;C0007;CL001;626
28/06/2019;C0010;CL002;800
01/07/2019;C0008;CT002;557
02/07/2019;C0009;CT003;690
03/07/2019;C0011;CS004;915
04/07/2019;C0014;AL001;774
05/07/2019;C0016;AL002;574
08/07/2019;C0017;AS001;937
09/07/2019;C0018;CS003;1017
10/07/2019;C0021;AT001;957
11/07/2019;C0022;CS002;818
12/07/2019;C0023;AS002;966
15/07/2019;C0024;VS002;597
16/07/2019;C0025;AT002;576
17/07/2019;C0028;AS003;931
18/07/2019;C0029;VS001;508
19/07/2019;C0013;AS004;745
22/07/2019;C0006;AS005;954
23/07/2019;C0026;VS003;904
24/07/2019;C0020;VS004;805
25/07/2019;C0005;VS005;855
26/07/2019;C0012;CS001;724
29/07/2019;C0019;CT001;705
30/07/2019;C0030;CL001;1044
31/07/2019;C0004;CL002;690
01/08/2019;C0027;CT002;1018
02/08/2019;C0001;CT003;1055
05/08/2019;C0002;CS004;768
06/08/2019;C0015;AL001;907
07/08/2019;C0003;AL002;1040
