Data;Ordem de Venda;Cliente ID;Produto SKU;Qtde;Vencimento;Pagamento;Previsão de Entrega;Entrega Efetiva
2023-01-02 00:00:00;SO247195;C0021;AS005;932;2023-01-16 00:00:00;2023-01-07 00:00:00;2023-01-06 00:00:00;2022-12-28 00:00:00
2023-01-02 00:00:00;SO592379;C0007;AL001;858;2023-03-06 00:00:00;2023-03-09 00:00:00;2023-01-05 00:00:00;2023-01-08 00:00:00
2023-01-02 00:00:00;SO498944;C0028;CS002;702;2023-01-16 00:00:00;2023-01-15 00:00:00;2023-01-10 00:00:00;2023-01-09 00:00:00
2023-01-02 00:00:00;SO592379;C0007;CS001;748;2023-03-06 00:00:00;2023-03-04 00:00:00;2023-01-05 00:00:00;2023-01-03 00:00:00
2023-01-02 00:00:00;SO247195;C0021;AL002;1257;2023-01-16 00:00:00;2023-01-21 00:00:00;2023-01-06 00:00:00;2023-01-11 00:00:00
2023-01-02 00:00:00;SO498944;C0028;CL001;936;2023-01-16 00:00:00;2023-01-13 00:00:00;2023-01-10 00:00:00;2023-01-07 00:00:00
2023-01-02 00:00:00;SO498944;C0028;AS005;815;2023-01-16 00:00:00;2023-01-08 00:00:00;2023-01-10 00:00:00;2023-01-02 00:00:00
2023-01-02 00:00:00;SO247195;C0021;VS001;1177;2023-01-16 00:00:00;2023-01-19 00:00:00;2023-01-06 00:00:00;2023-01-09 00:00:00
2023-01-02 00:00:00;SO247195;C0021;CL002;808;2023-01-16 00:00:00;2023-01-21 00:00:00;2023-01-06 00:00:00;2023-01-11 00:00:00
2023-01-02 00:00:00;SO247195;C0021;AS004;746;2023-01-16 00:00:00;2023-01-24 00:00:00;2023-01-06 00:00:00;2023-01-14 00:00:00
2023-01-02 00:00:00;SO592379;C0007;AS005;819;2023-03-06 00:00:00;2023-03-04 00:00:00;2023-01-05 00:00:00;2023-01-03 00:00:00
2023-01-02 00:00:00;SO498944;C0028;AL001;739;2023-01-16 00:00:00;2023-01-09 00:00:00;2023-01-10 00:00:00;2023-01-03 00:00:00
2023-01-02 00:00:00;SO247195;C0021;AS002;998;2023-01-16 00:00:00;2023-01-22 00:00:00;2023-01-06 00:00:00;2023-01-12 00:00:00
2023-01-02 00:00:00;SO247195;C0021;CS001;410;2023-01-16 00:00:00;2023-01-15 00:00:00;2023-01-06 00:00:00;2023-01-05 00:00:00
2023-01-02 00:00:00;SO592379;C0007;AL002;815;2023-03-06 00:00:00;2023-02-24 00:00:00;2023-01-05 00:00:00;2022-12-26 00:00:00
2023-01-02 00:00:00;SO247195;C0021;CS002;472;2023-01-16 00:00:00;2023-01-09 00:00:00;2023-01-06 00:00:00;2022-12-30 00:00:00
