Data;Cliente ID;Produto SKU;Qtde
01/01/2014;C0005;AT002;163
01/01/2014;C0016;CS001;315
01/01/2014;C0014;CL002;786
01/01/2014;C0026;VS003;257
01/01/2014;C0006;AS005;273
01/01/2014;C0004;CT002;520
02/01/2014;C0009;VS004;819
02/01/2014;C0013;VS001;250
02/01/2014;C0030;CT003;355
02/01/2014;C0009;AS004;441
02/01/2014;C0025;CL001;345
02/01/2014;C0024;CS001;613
03/01/2014;C0005;VS003;199
03/01/2014;C0027;CS001;876
03/01/2014;C0018;AS004;623
03/01/2014;C0013;CL002;324
03/01/2014;C0028;VS002;218
03/01/2014;C0008;CS002;877
06/01/2014;C0028;CS004;931
06/01/2014;C0007;AS003;392
06/01/2014;C0016;CS001;797
06/01/2014;C0019;AL002;558
06/01/2014;C0020;AL002;1040
06/01/2014;C0001;VS003;973
07/01/2014;C0025;AS002;161
07/01/2014;C0014;CT003;690
07/01/2014;C0009;VS003;333
07/01/2014;C0030;VS002;194
07/01/2014;C0019;AT002;183
07/01/2014;C0005;CS003;495
08/01/2014;C0019;CS001;342
08/01/2014;C0017;CS001;621
08/01/2014;C0023;AS004;606
08/01/2014;C0003;AL001;223
08/01/2014;C0027;AT001;1232
08/01/2014;C0012;AS002;321
09/01/2014;C0016;VS003;139
09/01/2014;C0012;CL002;555
09/01/2014;C0024;VS003;769
09/01/2014;C0027;CS002;446
09/01/2014;C0017;CL002;854
09/01/2014;C0006;CS004;300
10/01/2014;C0019;AT002;302
10/01/2014;C0014;AL001;1474
10/01/2014;C0020;AS002;585
10/01/2014;C0026;AS003;948
10/01/2014;C0029;VS005;962
10/01/2014;C0018;AS001;1055
13/01/2014;C0002;VS003;806
13/01/2014;C0014;VS004;275
13/01/2014;C0002;AT001;1071
13/01/2014;C0003;CS002;691
13/01/2014;C0021;CS003;191
13/01/2014;C0017;CS001;874
14/01/2014;C0027;CS001;215
14/01/2014;C0021;CS002;540
14/01/2014;C0015;CS004;319
14/01/2014;C0017;CT001;1044
14/01/2014;C0005;CS003;285
14/01/2014;C0010;AS003;283
15/01/2014;C0028;AL001;257
15/01/2014;C0026;AS005;347
