Data;Cliente ID;Produto SKU;Qtde.;;;;
01/01/2014;C0018;CS004;635;;;;
01/01/2014;C0013;CT001;1095;;;;
01/01/2014;C0013;CT002;291;;;;
01/01/2014;C0018;CT003;411;;;;
01/01/2014;C0013;VS001;404;;;;
01/01/2014;C0018;VS002;876;;;;
01/01/2014;C0013;VS003;404;;;;
01/01/2014;C0018;VS004;484;;;;
01/01/2014;C0013;VS005;319;;;;
01/01/2014;C0013;AL001;240;;;;
01/01/2014;C0018;AL002;662;;;;
01/01/2014;C0018;AS001;258;;;;
01/01/2014;C0018;AS002;529;;;;
02/01/2014;C0015;AS003;839;;;;
02/01/2014;C0016;AS004;558;;;;
02/01/2014;C0015;CS004;385;;;;
02/01/2014;C0015;CT001;279;;;;
02/01/2014;C0015;CT002;582;;;;
02/01/2014;C0015;CT003;638;;;;
02/01/2014;C0016;VS001;662;;;;
02/01/2014;C0016;VS002;480;;;;
02/01/2014;C0016;VS003;891;;;;
02/01/2014;C0016;VS004;1025;;;;
02/01/2014;C0015;VS005;941;;;;
02/01/2014;C0015;AL001;451;;;;
02/01/2014;C0016;AL002;303;;;;
03/01/2014;C0009;AS001;201;;;;
03/01/2014;C0005;AS002;1421;;;;
03/01/2014;C0002;AS003;523;;;;
03/01/2014;C0009;AS004;1279;;;;
03/01/2014;C0009;CS004;389;;;;
03/01/2014;C0002;CT001;469;;;;
03/01/2014;C0009;CT002;442;;;;
03/01/2014;C0009;CT003;410;;;;
03/01/2014;C0005;VS001;294;;;;
03/01/2014;C0009;VS002;441;;;;
03/01/2014;C0002;VS003;288;;;;
03/01/2014;C0002;VS004;284;;;;
03/01/2014;C0009;VS005;797;;;;
03/01/2014;C0002;AL001;802;;;;
03/01/2014;C0005;AL002;278;;;;
03/01/2014;C0002;AS001;631;;;;
03/01/2014;C0009;AS002;573;;;;
06/01/2014;C0021;AS003;1183;;;;
06/01/2014;C0004;AS004;1263;;;;
06/01/2014;C0019;CS004;797;;;;
06/01/2014;C0021;CT001;611;;;;
06/01/2014;C0004;CT002;319;;;;
06/01/2014;C0019;CT003;500;;;;
06/01/2014;C0021;VS001;218;;;;
06/01/2014;C0021;VS002;241;;;;
06/01/2014;C0021;VS003;324;;;;
06/01/2014;C0004;VS004;344;;;;
06/01/2014;C0021;VS005;599;;;;
06/01/2014;C0004;AL001;620;;;;
06/01/2014;C0021;AL002;751;;;;
06/01/2014;C0019;AS001;560;;;;
06/01/2014;C0021;AS002;271;;;;
06/01/2014;C0019;AS003;838;;;;
06/01/2014;C0004;CS004;217;;;;
06/01/2014;C0019;CT001;897;;;;
07/01/2014;C0016;CT002;451;;;;
07/01/2014;C0007;CT003;1417;;;;
07/01/2014;C0005;VS001;750;;;;
07/01/2014;C0007;VS002;1094;;;;
07/01/2014;C0007;VS003;646;;;;
07/01/2014;C0007;VS004;700;;;;
07/01/2014;C0005;VS005;743;;;;
07/01/2014;C0016;AL001;528;;;;
07/01/2014;C0005;AL002;567;;;;
07/01/2014;C0016;AS001;572;;;;
07/01/2014;C0016;AS002;321;;;;
07/01/2014;C0007;AS003;991;;;;
07/01/2014;C0016;AS004;699;;;;
07/01/2014;C0005;CS004;506;;;;
07/01/2014;C0005;CT001;783;;;;
07/01/2014;C0005;CT002;393;;;;
08/01/2014;C0011;VS001;268;;;;
08/01/2014;C0028;VS002;365;;;;
08/01/2014;C0011;VS003;1429;;;;
08/01/2014;C0011;VS004;279;;;;
08/01/2014;C0028;VS005;581;;;;
08/01/2014;C0028;AL001;749;;;;
08/01/2014;C0028;AL002;513;;;;
08/01/2014;C0028;AS001;148;;;;
08/01/2014;C0028;AS002;835;;;;
08/01/2014;C0028;AS003;389;;;;
08/01/2014;C0028;AS004;919;;;;
08/01/2014;C0011;CS004;1070;;;;
08/01/2014;C0011;CT001;462;;;;
08/01/2014;C0028;CT002;364;;;;
08/01/2014;C0011;CT003;266;;;;
08/01/2014;C0028;VS001;461;;;;
08/01/2014;C0011;VS002;755;;;;
09/01/2014;C0011;VS004;637;;;;
09/01/2014;C0020;VS005;394;;;;
09/01/2014;C0020;AL001;324;;;;
09/01/2014;C0011;AL002;1037;;;;
09/01/2014;C0011;AS001;380;;;;
09/01/2014;C0020;AS002;256;;;;
09/01/2014;C0011;AS003;230;;;;
09/01/2014;C0011;AS004;1264;;;;
09/01/2014;C0020;CS004;774;;;;
09/01/2014;C0011;CT001;652;;;;
09/01/2014;C0011;CT002;846;;;;
09/01/2014;C0020;CT003;501;;;;
09/01/2014;C0020;VS001;150;;;;
09/01/2014;C0020;VS002;399;;;;
09/01/2014;C0011;VS003;771;;;;
09/01/2014;C0011;VS005;790;;;;
09/01/2014;C0011;AL001;1540;;;;
10/01/2014;C0010;AL002;1087;;;;
10/01/2014;C0008;AS001;333;;;;
10/01/2014;C0003;AS002;393;;;;
10/01/2014;C0010;AS003;657;;;;
10/01/2014;C0008;AS004;507;;;;
10/01/2014;C0003;CS004;901;;;;
10/01/2014;C0003;CT001;243;;;;
10/01/2014;C0010;CT002;360;;;;
10/01/2014;C0010;CT003;376;;;;
10/01/2014;C0010;VS001;1089;;;;
10/01/2014;C0003;VS002;718;;;;
10/01/2014;C0003;VS003;392;;;;
10/01/2014;C0003;VS004;798;;;;
10/01/2014;C0010;VS005;763;;;;
10/01/2014;C0008;AL001;338;;;;
13/01/2014;C0011;AS001;396;;;;
13/01/2014;C0021;AS002;545;;;;
13/01/2014;C0014;AS003;534;;;;
13/01/2014;C0011;AS004;852;;;;
13/01/2014;C0011;CS004;803;;;;
13/01/2014;C0011;CT001;344;;;;
13/01/2014;C0014;CT002;538;;;;
13/01/2014;C0011;CT003;405;;;;
13/01/2014;C0011;VS001;363;;;;
13/01/2014;C0021;VS002;1106;;;;
13/01/2014;C0014;VS003;1087;;;;
13/01/2014;C0014;VS004;1208;;;;
14/01/2014;C0008;VS005;553;;;;
14/01/2014;C0015;AL001;547;;;;
14/01/2014;C0021;AL002;492;;;;
14/01/2014;C0016;AS001;813;;;;
14/01/2014;C0016;AS002;754;;;;
14/01/2014;C0021;AS003;663;;;;
14/01/2014;C0021;AS004;352;;;;
14/01/2014;C0016;CS004;774;;;;
14/01/2014;C0021;CT001;260;;;;
14/01/2014;C0021;CT002;1308;;;;
14/01/2014;C0016;CT003;643;;;;
14/01/2014;C0015;VS001;1163;;;;
14/01/2014;C0021;VS002;697;;;;
14/01/2014;C0016;VS003;1171;;;;
14/01/2014;C0016;VS004;256;;;;
14/01/2014;C0021;VS005;705;;;;
15/01/2014;C0020;AL001;488;;;;
15/01/2014;C0009;AL002;140;;;;
15/01/2014;C0009;AS001;545;;;;
15/01/2014;C0020;AS002;248;;;;
15/01/2014;C0009;AS003;153;;;;
15/01/2014;C0020;AS004;386;;;;
15/01/2014;C0009;CS004;783;;;;
15/01/2014;C0009;CT001;381;;;;
15/01/2014;C0009;CT002;539;;;;
15/01/2014;C0020;CT003;406;;;;
15/01/2014;C0009;VS001;937;;;;
15/01/2014;C0020;VS002;571;;;;
15/01/2014;C0020;VS003;659;;;;
15/01/2014;C0020;VS004;153;;;;
16/01/2014;C0016;VS005;776;;;;
16/01/2014;C0005;AL001;646;;;;
16/01/2014;C0012;AL002;1527;;;;
16/01/2014;C0030;AS001;714;;;;
16/01/2014;C0016;AS002;1283;;;;
16/01/2014;C0012;AS003;489;;;;
16/01/2014;C0030;AS004;899;;;;
16/01/2014;C0016;CS004;319;;;;
16/01/2014;C0005;CT001;1104;;;;
16/01/2014;C0030;CT002;762;;;;
16/01/2014;C0012;CT003;797;;;;
16/01/2014;C0030;VS001;857;;;;
16/01/2014;C0016;VS002;352;;;;
16/01/2014;C0005;VS003;283;;;;
16/01/2014;C0030;VS004;716;;;;
16/01/2014;C0005;VS005;619;;;;
16/01/2014;C0030;AL001;369;;;;
16/01/2014;C0030;AL002;1189;;;;
16/01/2014;C0005;AS001;353;;;;
17/01/2014;C0028;AS003;1336;;;;
17/01/2014;C0022;AS004;1013;;;;
17/01/2014;C0022;CS004;596;;;;
17/01/2014;C0022;CT001;1001;;;;
17/01/2014;C0028;CT002;800;;;;
17/01/2014;C0022;CT003;381;;;;
17/01/2014;C0022;VS001;1198;;;;
