Data;Cliente ID;Produto SKU;Qtde
01/01/2014;C0001; CS001 ;401
01/01/2014;C0001; AL001 ;261
01/01/2014;C0001; VS005 ;653
01/01/2014;C0001; VS005 ;254
02/01/2014;C0002; CT001 ;501
02/01/2014;C0002; AL001 ;693
02/01/2014;C0002; VS005 ;763
02/01/2014;C0011; VS005 ;311
03/01/2014;C0003; CS002 ;691
03/01/2014;C0003; AL001 ;328
03/01/2014;C0002; VS005 ;464
03/01/2014;C0011; VS005 ;750
06/01/2014;C0006; CL002 ;811
06/01/2014;C0006; AL001 ;746
06/01/2014;C0002; VS005 ;580
06/01/2014;C0011; VS005 ;400
07/01/2014;C0007; CT002 ;629
07/01/2014;C0007; AL001 ;484
07/01/2014;C0002; VS005 ;384
07/01/2014;C0011; VS005 ;793
08/01/2014;C0008; CT003 ;706
08/01/2014;C0008; AL001 ;702
08/01/2014;C0002; VS005 ;768
08/01/2014;C0011; VS005 ;413
09/01/2014;C0009; CS004 ;888
09/01/2014;C0009; AL001 ;486
09/01/2014;C0002; VS005 ;420
09/01/2014;C0011; VS005 ;637
10/01/2014;C0010; AS001 ;764
10/01/2014;C0010; AL001 ;642
10/01/2014;C0002; VS005 ;687
10/01/2014;C0011; VS005 ;790
13/01/2014;C0013; AL002 ;686
13/01/2014;C0013; AL001 ;315
13/01/2014;C0002; VS005 ;523
13/01/2014;C0011; VS005 ;630
14/01/2014;C0014; AS002 ;883
14/01/2014;C0014; AL001 ;490
14/01/2014;C0002; VS005 ;485
14/01/2014;C0028; VS005 ;635
15/01/2014;C0015; AT002 ;712
15/01/2014;C0015; AL001 ;895
15/01/2014;C0001; VS005 ;445
15/01/2014;C0028; VS005 ;605
16/01/2014;C0016; AS003 ;254
16/01/2014;C0016; AL001 ;879
16/01/2014;C0001; VS004 ;783
16/01/2014;C0028; VS004 ;797
17/01/2014;C0017; AS004 ;771
17/01/2014;C0017; AL002 ;547
17/01/2014;C0001; VS004 ;634
17/01/2014;C0028; VS004 ;690
20/01/2014;C0020; VS002 ;715
20/01/2014;C0020; AL002 ;471
20/01/2014;C0001; VS004 ;812
20/01/2014;C0028; VS004 ;364
21/01/2014;C0021; VS003 ;359
21/01/2014;C0021; AL002 ;772
21/01/2014;C0001; VS004 ;461
21/01/2014;C0028; VS004 ;819
22/01/2014;C0022; VS004 ;317
22/01/2014;C0022; AL002 ;596
22/01/2014;C0001; VS004 ;749
22/01/2014;C0028; VS004 ;408
23/01/2014;C0023; VS005 ;764
23/01/2014;C0023; AL002 ;426
23/01/2014;C0001; VS004 ;376
23/01/2014;C0028; VS004 ;656
24/01/2014;C0024; CS001 ;877
24/01/2014;C0024; AL002 ;652
24/01/2014;C0001; VS004 ;398
24/01/2014;C0028; VS004 ;304
27/01/2014;C0027; CS003 ;513
27/01/2014;C0027; AL002 ;594
27/01/2014;C0003; VS004 ;588
27/01/2014;C0013; VS004 ;874
28/01/2014;C0028; CL001 ;488
28/01/2014;C0028; AL002 ;348
28/01/2014;C0003; VS004 ;351
28/01/2014;C0013; VS004 ;830
29/01/2014;C0029; CL002 ;612
29/01/2014;C0029; AL002 ;300
29/01/2014;C0003; VS004 ;577
29/01/2014;C0013; VS004 ;337
30/01/2014;C0030; CT002 ;496
30/01/2014;C0030; AL002 ;509
30/01/2014;C0003; VS004 ;281
30/01/2014;C0013; VS004 ;299
31/01/2014;C0001; CT003 ;615
31/01/2014;C0001; AL002 ;671
31/01/2014;C0003; VS003 ;819
31/01/2014;C0013; VS003 ;606
03/02/2014;C0004; AT001 ;570
03/02/2014;C0004; AS001 ;377
03/02/2014;C0003; VS003 ;523
03/02/2014;C0013; VS003 ;303
04/02/2014;C0005; AL001 ;303
04/02/2014;C0005; AS001 ;579
04/02/2014;C0003; VS003 ;695
04/02/2014;C0013; VS003 ;729
05/02/2014;C0006; AL002 ;542
05/02/2014;C0006; AS001 ;638
05/02/2014;C0003; VS003 ;541
05/02/2014;C0013; VS003 ;838
06/02/2014;C0007; AS002 ;895
06/02/2014;C0007; AS001 ;515
06/02/2014;C0003; VS003 ;409
06/02/2014;C0013; VS003 ;562
07/02/2014;C0008; AT002 ;409
07/02/2014;C0008; AS001 ;724
07/02/2014;C0003; VS003 ;305
07/02/2014;C0008; VS003 ;710
10/02/2014;C0011; AS005 ;898
10/02/2014;C0011; AS001 ;321
10/02/2014;C0026; VS003 ;895
10/02/2014;C0008; VS003 ;647
11/02/2014;C0012; VS001 ;414
11/02/2014;C0012; AS001 ;831
11/02/2014;C0026; VS003 ;874
11/02/2014;C0008; VS003 ;295
12/02/2014;C0013; VS002 ;665
12/02/2014;C0013; AS001 ;534
12/02/2014;C0026; VS003 ;409
12/02/2014;C0008; VS003 ;365
13/02/2014;C0014; VS003 ;841
13/02/2014;C0014; AS001 ;414
13/02/2014;C0026; VS003 ;487
13/02/2014;C0008; VS003 ;392
14/02/2014;C0015; VS004 ;720
14/02/2014;C0015; AS001 ;458
14/02/2014;C0026; VS003 ;296
14/02/2014;C0008; VS003 ;684
17/02/2014;C0018; CT001 ;419
17/02/2014;C0018; AS001 ;571
17/02/2014;C0026; VS002 ;327
17/02/2014;C0008; VS002 ;317
18/02/2014;C0019; CS002 ;276
18/02/2014;C0019; AS002 ;489
18/02/2014;C0026; VS002 ;792
18/02/2014;C0008; VS002 ;406
19/02/2014;C0020; CS003 ;718
19/02/2014;C0020; AS002 ;289
19/02/2014;C0026; VS002 ;761
19/02/2014;C0027; VS002 ;300
20/02/2014;C0021; CL001 ;582
20/02/2014;C0021; AS002 ;332
20/02/2014;C0026; VS002 ;430
20/02/2014;C0027; VS002 ;644
21/02/2014;C0022; CL002 ;255
21/02/2014;C0022; AS002 ;423
21/02/2014;C0004; VS002 ;619
21/02/2014;C0027; VS002 ;498
24/02/2014;C0025; CS004 ;688
24/02/2014;C0025; AS002 ;822
24/02/2014;C0004; VS002 ;756
24/02/2014;C0027; VS002 ;828
25/02/2014;C0026; AS001 ;728
25/02/2014;C0026; AS002 ;723
25/02/2014;C0004; VS002 ;473
25/02/2014;C0027; VS002 ;622
26/02/2014;C0027; AT001 ;708
26/02/2014;C0027; AS002 ;485
26/02/2014;C0004; VS002 ;529
26/02/2014;C0027; VS002 ;510
27/02/2014;C0028; AL001 ;470
27/02/2014;C0028; AS002 ;663
27/02/2014;C0004; VS002 ;497
27/02/2014;C0027; VS002 ;376
28/02/2014;C0029; AL002 ;707
28/02/2014;C0029; AS002 ;606
28/02/2014;C0004; VS002 ;661
28/02/2014;C0027; VS002 ;546
03/03/2014;C0002; AS003 ;701
03/03/2014;C0002; AS002 ;256
03/03/2014;C0004; VS001 ;415
03/03/2014;C0015; VS001 ;844
04/03/2014;C0003; AS004 ;273
04/03/2014;C0003; AS002 ;726
04/03/2014;C0004; VS001 ;474
04/03/2014;C0015; VS001 ;797
05/03/2014;C0004; AS005 ;317
05/03/2014;C0004; AS002 ;806
05/03/2014;C0004; VS001 ;560
05/03/2014;C0015; VS001 ;774
06/03/2014;C0005; VS001 ;601
06/03/2014;C0005; AS003 ;278
06/03/2014;C0010; VS001 ;483
06/03/2014;C0015; VS001 ;296
07/03/2014;C0006; VS002 ;826
07/03/2014;C0006; AS003 ;662
07/03/2014;C0010; VS001 ;588
07/03/2014;C0015; VS001 ;777
10/03/2014;C0009; VS005 ;613
10/03/2014;C0009; AS003 ;640
10/03/2014;C0010; VS001 ;819
10/03/2014;C0015; VS001 ;374
11/03/2014;C0010; CS001 ;859
11/03/2014;C0010; AS003 ;426
11/03/2014;C0010; VS001 ;330
11/03/2014;C0015; VS001 ;729
12/03/2014;C0011; CT001 ;266
12/03/2014;C0011; AS003 ;331
12/03/2014;C0010; VS001 ;547
12/03/2014;C0015; VS001 ;347
13/03/2014;C0012; CS002 ;379
13/03/2014;C0012; AS003 ;763
13/03/2014;C0010; VS001 ;296
13/03/2014;C0015; VS001 ;259
14/03/2014;C0013; CS003 ;856
14/03/2014;C0013; AS003 ;472
14/03/2014;C0010; VS001 ;860
14/03/2014;C0015; VS001 ;615
17/03/2014;C0016; CT002 ;854
17/03/2014;C0016; AS003 ;493
17/03/2014;C0010; VS001 ;571
17/03/2014;C0007; VS001 ;760
18/03/2014;C0017; CT003 ;615
18/03/2014;C0017; AS003 ;763
18/03/2014;C0030; VS001 ;892
18/03/2014;C0007; VS001 ;473
19/03/2014;C0018; CS004 ;496
19/03/2014;C0018; AS003 ;345
19/03/2014;C0030; CT003 ;665
19/03/2014;C0007; CT003 ;460
20/03/2014;C0019; AS001 ;458
20/03/2014;C0019; AS003 ;267
20/03/2014;C0030; CT003 ;560
20/03/2014;C0007; CT003 ;687
21/03/2014;C0020; AT001 ;804
21/03/2014;C0020; AS003 ;657
21/03/2014;C0030; CT003 ;454
21/03/2014;C0007; CT003 ;826
24/03/2014;C0023; AS002 ;654
24/03/2014;C0023; AS004 ;347
24/03/2014;C0030; CT003 ;321
24/03/2014;C0007; CT003 ;369
25/03/2014;C0024; AT002 ;478
25/03/2014;C0024; AS004 ;721
25/03/2014;C0030; CT003 ;457
25/03/2014;C0007; CT003 ;572
26/03/2014;C0025; AS003 ;699
26/03/2014;C0025; AS004 ;327
26/03/2014;C0030; CT003 ;635
26/03/2014;C0007; CT003 ;435
27/03/2014;C0026; AS004 ;726
27/03/2014;C0026; AS004 ;338
27/03/2014;C0030; CT003 ;727
27/03/2014;C0025; CT003 ;388
28/03/2014;C0027; AS005 ;679
28/03/2014;C0027; AS004 ;409
28/03/2014;C0030; CT003 ;334
28/03/2014;C0025; CT003 ;569
31/03/2014;C0030; VS003 ;548
31/03/2014;C0030; AS004 ;656
31/03/2014;C0018; CT003 ;616
31/03/2014;C0025; CT003 ;403
01/04/2014;C0001; VS004 ;732
01/04/2014;C0001; AS004 ;538
01/04/2014;C0018; CT003 ;645
01/04/2014;C0025; CT003 ;805
02/04/2014;C0002; VS005 ;392
02/04/2014;C0002; AS004 ;678
02/04/2014;C0018; CT003 ;868
02/04/2014;C0025; CT003 ;472
03/04/2014;C0003; CS001 ;451
03/04/2014;C0003; AS004 ;672
03/04/2014;C0018; CT003 ;770
03/04/2014;C0025; CT003 ;507
04/04/2014;C0004; CT001 ;262
04/04/2014;C0004; AS004 ;452
04/04/2014;C0018; CT002 ;607
04/04/2014;C0025; CT002 ;511
07/04/2014;C0007; CL001 ;377
07/04/2014;C0007; AS005 ;571
07/04/2014;C0018; CT002 ;292
07/04/2014;C0025; CT002 ;257
08/04/2014;C0008; CL002 ;880
08/04/2014;C0008; AS005 ;435
08/04/2014;C0018; CT002 ;521
08/04/2014;C0022; CT002 ;804
09/04/2014;C0009; CT002 ;647
09/04/2014;C0009; AS005 ;711
09/04/2014;C0018; CT002 ;672
09/04/2014;C0022; CT002 ;368
10/04/2014;C0010; CT003 ;888
10/04/2014;C0010; AS005 ;641
10/04/2014;C0018; CT002 ;628
10/04/2014;C0022; CT002 ;750
11/04/2014;C0011; CS004 ;809
11/04/2014;C0011; AS005 ;718
11/04/2014;C0014; CT002 ;870
11/04/2014;C0022; CT002 ;850
14/04/2014;C0014; AL001 ;468
14/04/2014;C0014; AS005 ;666
14/04/2014;C0014; CT002 ;612
14/04/2014;C0022; CT002 ;657
15/04/2014;C0015; AL002 ;324
15/04/2014;C0015; AS005 ;814
15/04/2014;C0014; CT002 ;571
15/04/2014;C0022; CT002 ;570
16/04/2014;C0016; AS002 ;840
16/04/2014;C0016; AS005 ;470
16/04/2014;C0014; CT002 ;589
16/04/2014;C0022; CT002 ;488
17/04/2014;C0017; AT002 ;718
17/04/2014;C0017; AS005 ;457
17/04/2014;C0014; CT002 ;270
17/04/2014;C0022; CT002 ;743
18/04/2014;C0018; AS003 ;576
18/04/2014;C0018; AS005 ;617
18/04/2014;C0014; CT002 ;758
18/04/2014;C0022; CT002 ;696
21/04/2014;C0021; VS001 ;389
21/04/2014;C0021; AS005 ;347
21/04/2014;C0014; CT001 ;484
21/04/2014;C0021; CT001 ;875
22/04/2014;C0022; VS002 ;885
22/04/2014;C0022; AS005 ;880
22/04/2014;C0014; CT001 ;575
22/04/2014;C0021; CT001 ;456
23/04/2014;C0023; VS003 ;773
23/04/2014;C0023; AT001 ;701
23/04/2014;C0023; CT001 ;256
23/04/2014;C0021; CT001 ;426
24/04/2014;C0024; VS004 ;268
24/04/2014;C0024; AT001 ;313
24/04/2014;C0023; CT001 ;695
24/04/2014;C0021; CT001 ;342
25/04/2014;C0025; VS005 ;760
25/04/2014;C0025; AT001 ;893
25/04/2014;C0023; CT001 ;416
25/04/2014;C0021; CT001 ;297
28/04/2014;C0028; CS002 ;769
28/04/2014;C0028; AT001 ;828
28/04/2014;C0023; CT001 ;516
28/04/2014;C0021; CT001 ;630
29/04/2014;C0029; CS003 ;303
29/04/2014;C0029; AT001 ;857
29/04/2014;C0023; CT001 ;560
29/04/2014;C0021; CT001 ;290
30/04/2014;C0030; CL001 ;391
30/04/2014;C0030; AT001 ;807
30/04/2014;C0023; CT001 ;647
30/04/2014;C0021; CT001 ;679
01/05/2014;C0001; CL002 ;457
01/05/2014;C0001; AT001 ;730
01/05/2014;C0023; CT001 ;755
01/05/2014;C0021; CT001 ;697
02/05/2014;C0002; CT002 ;587
02/05/2014;C0002; AT001 ;662
02/05/2014;C0023; CT001 ;373
02/05/2014;C0012; CT001 ;622
05/05/2014;C0005; AS001 ;649
05/05/2014;C0005; AT001 ;434
05/05/2014;C0017; CT001 ;528
05/05/2014;C0012; CT001 ;647
06/05/2014;C0006; AT001 ;659
06/05/2014;C0006; AT001 ;653
06/05/2014;C0017; CS004 ;723
06/05/2014;C0012; CS004 ;619
07/05/2014;C0007; AL001 ;437
07/05/2014;C0007; AT001 ;309
07/05/2014;C0017; CS004 ;360
07/05/2014;C0012; CS004 ;651
08/05/2014;C0008; AL002 ;485
08/05/2014;C0008; AT001 ;627
08/05/2014;C0017; CS004 ;687
08/05/2014;C0012; CS004 ;825
09/05/2014;C0009; AS002 ;268
09/05/2014;C0009; AT002 ;374
09/05/2014;C0017; CS004 ;479
09/05/2014;C0012; CS004 ;737
12/05/2014;C0012; AS004 ;755
12/05/2014;C0012; AT002 ;409
12/05/2014;C0017; CS004 ;434
12/05/2014;C0012; CS004 ;504
13/05/2014;C0013; AS005 ;519
13/05/2014;C0013; AT002 ;556
13/05/2014;C0017; CS004 ;417
13/05/2014;C0012; CS004 ;605
14/05/2014;C0014; VS001 ;697
14/05/2014;C0014; AT002 ;563
14/05/2014;C0017; CS004 ;362
14/05/2014;C0020; CS004 ;547
15/05/2014;C0015; VS002 ;607
15/05/2014;C0015; AT002 ;681
15/05/2014;C0017; CS004 ;734
15/05/2014;C0020; CS004 ;494
16/05/2014;C0016; VS003 ;338
16/05/2014;C0016; AT002 ;865
16/05/2014;C0017; CS004 ;386
16/05/2014;C0020; CS004 ;769
19/05/2014;C0019; CS001 ;646
19/05/2014;C0019; AT002 ;502
19/05/2014;C0009; CS004 ;385
19/05/2014;C0020; CS004 ;564
20/05/2014;C0020; CT001 ;396
20/05/2014;C0020; AT002 ;470
20/05/2014;C0009; CS004 ;593
20/05/2014;C0020; CS004 ;791
21/05/2014;C0021; CS002 ;685
21/05/2014;C0021; AT002 ;490
21/05/2014;C0009; CS004 ;870
21/05/2014;C0020; CS004 ;524
22/05/2014;C0022; CS003 ;786
22/05/2014;C0022; AT002 ;611
22/05/2014;C0009; CS003 ;460
22/05/2014;C0020; CS003 ;349
23/05/2014;C0023; CL001 ;302
23/05/2014;C0023; AT002 ;528
23/05/2014;C0009; CS003 ;401
23/05/2014;C0020; CS003 ;499
26/05/2014;C0026; CT003 ;285
26/05/2014;C0026; CL001 ;331
26/05/2014;C0009; CS003 ;451
26/05/2014;C0005; CS003 ;403
27/05/2014;C0027; CS004 ;790
27/05/2014;C0027; CL001 ;382
27/05/2014;C0009; CS003 ;393
27/05/2014;C0005; CS003 ;663
28/05/2014;C0028; AS001 ;445
28/05/2014;C0028; CL001 ;628
28/05/2014;C0009; CS003 ;467
28/05/2014;C0005; CS003 ;889
29/05/2014;C0029; AT001 ;379
29/05/2014;C0029; CL001 ;654
29/05/2014;C0024; CS003 ;883
29/05/2014;C0005; CS003 ;834
30/05/2014;C0030; AL001 ;467
30/05/2014;C0030; CL001 ;313
30/05/2014;C0024; CS003 ;370
30/05/2014;C0005; CS003 ;585
02/06/2014;C0003; AT002 ;421
02/06/2014;C0003; CL001 ;381
02/06/2014;C0024; CS003 ;429
02/06/2014;C0005; CS003 ;366
03/06/2014;C0004; AS003 ;870
03/06/2014;C0004; CL001 ;353
03/06/2014;C0024; CS003 ;849
03/06/2014;C0005; CS003 ;516
04/06/2014;C0005; AS004 ;356
04/06/2014;C0005; CL001 ;897
04/06/2014;C0024; CS003 ;484
04/06/2014;C0005; CS003 ;494
05/06/2014;C0006; AS005 ;437
05/06/2014;C0006; CL001 ;675
05/06/2014;C0024; CS003 ;570
05/06/2014;C0005; CS003 ;369
