Data;Ordem de Venda;Cliente ID;Produto SKU;Qtde;Vencimento;Pagamento;Previsão de Entrega;Entrega Efetiva
2014-01-01 00:00:00;SO789824;C0018;VS002;502;2014-03-05 00:00:00;2014-03-07 00:00:00;2014-01-05 00:00:00;2014-01-07 00:00:00
2014-01-01 00:00:00;SO876509;C0013;CS003;742;2014-01-29 00:00:00;2014-01-31 00:00:00;2014-01-05 00:00:00;2014-01-07 00:00:00
2014-01-01 00:00:00;SO876509;C0013;CS002;357;2014-01-29 00:00:00;2014-01-26 00:00:00;2014-01-05 00:00:00;2014-01-02 00:00:00
2014-01-01 00:00:00;SO789824;C0018;AS002;572;2014-03-05 00:00:00;2014-03-01 00:00:00;2014-01-05 00:00:00;2014-01-01 00:00:00
2014-01-01 00:00:00;SO876509;C0013;AT001;317;2014-01-29 00:00:00;2014-01-21 00:00:00;2014-01-05 00:00:00;2013-12-28 00:00:00
2014-01-01 00:00:00;SO789824;C0018;AS004;922;2014-03-05 00:00:00;2014-03-03 00:00:00;2014-01-05 00:00:00;2014-01-03 00:00:00
2014-01-01 00:00:00;SO876509;C0013;AS003;373;2014-01-29 00:00:00;2014-01-20 00:00:00;2014-01-05 00:00:00;2013-12-27 00:00:00
2014-01-01 00:00:00;SO789824;C0018;AS005;753;2014-03-05 00:00:00;2014-03-12 00:00:00;2014-01-05 00:00:00;2014-01-12 00:00:00
2014-01-01 00:00:00;SO876509;C0013;CT003;575;2014-01-29 00:00:00;2014-01-20 00:00:00;2014-01-05 00:00:00;2013-12-27 00:00:00
2014-01-01 00:00:00;SO876509;C0013;AS002;433;2014-01-29 00:00:00;2014-02-08 00:00:00;2014-01-05 00:00:00;2014-01-15 00:00:00
2014-01-01 00:00:00;SO789824;C0018;CL002;424;2014-03-05 00:00:00;2014-03-04 00:00:00;2014-01-05 00:00:00;2014-01-04 00:00:00
2014-01-01 00:00:00;SO789824;C0018;AL001;245;2014-03-05 00:00:00;2014-03-10 00:00:00;2014-01-05 00:00:00;2014-01-10 00:00:00
2014-01-01 00:00:00;SO789824;C0018;CT002;414;2014-03-05 00:00:00;2014-03-11 00:00:00;2014-01-05 00:00:00;2014-01-11 00:00:00
2014-01-02 00:00:00;SO864305;C0015;AS004;715;2014-02-13 00:00:00;2014-02-21 00:00:00;2014-01-06 00:00:00;2014-01-14 00:00:00
2014-01-02 00:00:00;SO844912;C0016;AL001;443;2014-01-16 00:00:00;2014-01-26 00:00:00;2014-01-06 00:00:00;2014-01-16 00:00:00
2014-01-02 00:00:00;SO864305;C0015;AT001;414;2014-02-13 00:00:00;2014-02-10 00:00:00;2014-01-06 00:00:00;2014-01-03 00:00:00
2014-01-02 00:00:00;SO864305;C0015;CT002;377;2014-02-13 00:00:00;2014-02-08 00:00:00;2014-01-06 00:00:00;2014-01-01 00:00:00
2014-01-02 00:00:00;SO864305;C0015;VS003;676;2014-02-13 00:00:00;2014-02-22 00:00:00;2014-01-06 00:00:00;2014-01-15 00:00:00
2014-01-02 00:00:00;SO864305;C0015;CS003;646;2014-02-13 00:00:00;2014-02-15 00:00:00;2014-01-06 00:00:00;2014-01-08 00:00:00
2014-01-02 00:00:00;SO844912;C0016;AS002;881;2014-01-16 00:00:00;2014-01-16 00:00:00;2014-01-06 00:00:00;2014-01-06 00:00:00
2014-01-02 00:00:00;SO844912;C0016;CS002;722;2014-01-16 00:00:00;2014-01-17 00:00:00;2014-01-06 00:00:00;2014-01-07 00:00:00
2014-01-02 00:00:00;SO844912;C0016;CS003;714;2014-01-16 00:00:00;2014-01-21 00:00:00;2014-01-06 00:00:00;2014-01-11 00:00:00
2014-01-02 00:00:00;SO844912;C0016;CT002;766;2014-01-16 00:00:00;2014-01-08 00:00:00;2014-01-06 00:00:00;2013-12-29 00:00:00
2014-01-02 00:00:00;SO864305;C0015;CT003;950;2014-02-13 00:00:00;2014-02-09 00:00:00;2014-01-06 00:00:00;2014-01-02 00:00:00
2014-01-02 00:00:00;SO864305;C0015;CL001;635;2014-02-13 00:00:00;2014-02-08 00:00:00;2014-01-06 00:00:00;2014-01-01 00:00:00
2014-01-02 00:00:00;SO844912;C0016;VS003;253;2014-01-16 00:00:00;2014-01-10 00:00:00;2014-01-06 00:00:00;2013-12-31 00:00:00
2014-01-03 00:00:00;SO706159;C0009;AS002;340;2014-01-17 00:00:00;2014-01-27 00:00:00;2014-01-06 00:00:00;2014-01-16 00:00:00
2014-01-03 00:00:00;SO811104;C0005;CS003;936;2014-02-28 00:00:00;2014-02-21 00:00:00;2014-01-05 00:00:00;2013-12-29 00:00:00
2014-01-03 00:00:00;SO403122;C0002;CS003;580;2014-02-07 00:00:00;2014-02-07 00:00:00;2014-01-05 00:00:00;2014-01-05 00:00:00
2014-01-03 00:00:00;SO706159;C0009;AT002;862;2014-01-17 00:00:00;2014-01-12 00:00:00;2014-01-06 00:00:00;2014-01-01 00:00:00
2014-01-03 00:00:00;SO706159;C0009;VS002;574;2014-01-17 00:00:00;2014-01-15 00:00:00;2014-01-06 00:00:00;2014-01-04 00:00:00
2014-01-03 00:00:00;SO403122;C0002;CT003;397;2014-02-07 00:00:00;2014-02-03 00:00:00;2014-01-05 00:00:00;2014-01-01 00:00:00
2014-01-03 00:00:00;SO706159;C0009;AS003;489;2014-01-17 00:00:00;2014-01-10 00:00:00;2014-01-06 00:00:00;2013-12-30 00:00:00
2014-01-03 00:00:00;SO706159;C0009;CL001;532;2014-01-17 00:00:00;2014-01-11 00:00:00;2014-01-06 00:00:00;2013-12-31 00:00:00
2014-01-03 00:00:00;SO811104;C0005;CT002;608;2014-02-28 00:00:00;2014-03-05 00:00:00;2014-01-05 00:00:00;2014-01-10 00:00:00
2014-01-03 00:00:00;SO706159;C0009;AS001;524;2014-01-17 00:00:00;2014-01-16 00:00:00;2014-01-06 00:00:00;2014-01-05 00:00:00
2014-01-03 00:00:00;SO403122;C0002;AS005;345;2014-02-07 00:00:00;2014-02-11 00:00:00;2014-01-05 00:00:00;2014-01-09 00:00:00
2014-01-03 00:00:00;SO403122;C0002;AL002;706;2014-02-07 00:00:00;2014-02-01 00:00:00;2014-01-05 00:00:00;2013-12-30 00:00:00
2014-01-03 00:00:00;SO706159;C0009;CT003;750;2014-01-17 00:00:00;2014-01-15 00:00:00;2014-01-06 00:00:00;2014-01-04 00:00:00
2014-01-03 00:00:00;SO403122;C0002;AT002;728;2014-02-07 00:00:00;2014-02-13 00:00:00;2014-01-05 00:00:00;2014-01-11 00:00:00
2014-01-03 00:00:00;SO811104;C0005;AS002;329;2014-02-28 00:00:00;2014-03-02 00:00:00;2014-01-05 00:00:00;2014-01-07 00:00:00
2014-01-03 00:00:00;SO403122;C0002;VS003;668;2014-02-07 00:00:00;2014-02-14 00:00:00;2014-01-05 00:00:00;2014-01-12 00:00:00
2014-01-03 00:00:00;SO706159;C0009;CS003;786;2014-01-17 00:00:00;2014-01-22 00:00:00;2014-01-06 00:00:00;2014-01-11 00:00:00
2014-01-06 00:00:00;SO129307;C0021;AS004;811;2014-01-20 00:00:00;2014-01-13 00:00:00;2014-01-10 00:00:00;2014-01-03 00:00:00
2014-01-06 00:00:00;SO249393;C0004;AS005;485;2014-01-20 00:00:00;2014-01-22 00:00:00;2014-01-08 00:00:00;2014-01-10 00:00:00
2014-01-06 00:00:00;SO517526;C0019;CT002;1016;2014-03-10 00:00:00;2014-03-13 00:00:00;2014-01-10 00:00:00;2014-01-13 00:00:00
2014-01-06 00:00:00;SO129307;C0021;CS003;831;2014-01-20 00:00:00;2014-01-27 00:00:00;2014-01-10 00:00:00;2014-01-17 00:00:00
2014-01-06 00:00:00;SO249393;C0004;VS003;488;2014-01-20 00:00:00;2014-01-29 00:00:00;2014-01-08 00:00:00;2014-01-17 00:00:00
2014-01-06 00:00:00;SO517526;C0019;CS003;417;2014-03-10 00:00:00;2014-02-28 00:00:00;2014-01-10 00:00:00;2013-12-31 00:00:00
2014-01-06 00:00:00;SO129307;C0021;AS003;539;2014-01-20 00:00:00;2014-01-27 00:00:00;2014-01-10 00:00:00;2014-01-17 00:00:00
2014-01-06 00:00:00;SO129307;C0021;AT001;270;2014-01-20 00:00:00;2014-01-20 00:00:00;2014-01-10 00:00:00;2014-01-10 00:00:00
2014-01-06 00:00:00;SO129307;C0021;AS002;439;2014-01-20 00:00:00;2014-01-25 00:00:00;2014-01-10 00:00:00;2014-01-15 00:00:00
2014-01-06 00:00:00;SO249393;C0004;AS003;598;2014-01-20 00:00:00;2014-01-24 00:00:00;2014-01-08 00:00:00;2014-01-12 00:00:00
2014-01-06 00:00:00;SO129307;C0021;AT002;380;2014-01-20 00:00:00;2014-01-22 00:00:00;2014-01-10 00:00:00;2014-01-12 00:00:00
2014-01-06 00:00:00;SO249393;C0004;AS002;420;2014-01-20 00:00:00;2014-01-22 00:00:00;2014-01-08 00:00:00;2014-01-10 00:00:00
2014-01-06 00:00:00;SO129307;C0021;CT003;503;2014-01-20 00:00:00;2014-01-22 00:00:00;2014-01-10 00:00:00;2014-01-12 00:00:00
2014-01-06 00:00:00;SO517526;C0019;AS002;474;2014-03-10 00:00:00;2014-03-06 00:00:00;2014-01-10 00:00:00;2014-01-06 00:00:00
2014-01-06 00:00:00;SO129307;C0021;AS005;262;2014-01-20 00:00:00;2014-01-26 00:00:00;2014-01-10 00:00:00;2014-01-16 00:00:00
2014-01-06 00:00:00;SO517526;C0019;CL002;759;2014-03-10 00:00:00;2014-03-05 00:00:00;2014-01-10 00:00:00;2014-01-05 00:00:00
2014-01-06 00:00:00;SO249393;C0004;AT002;347;2014-01-20 00:00:00;2014-01-16 00:00:00;2014-01-08 00:00:00;2014-01-04 00:00:00
2014-01-06 00:00:00;SO249393;C0004;AS004;411;2014-01-20 00:00:00;2014-01-12 00:00:00;2014-01-08 00:00:00;2013-12-31 00:00:00
2014-01-06 00:00:00;SO517526;C0019;AL002;931;2014-03-10 00:00:00;2014-03-10 00:00:00;2014-01-10 00:00:00;2014-01-10 00:00:00
2014-01-07 00:00:00;SO259411;C0016;AS005;835;2014-01-21 00:00:00;2014-01-31 00:00:00;2014-01-11 00:00:00;2014-01-21 00:00:00
2014-01-07 00:00:00;SO328801;C0007;CL002;322;2014-03-11 00:00:00;2014-03-09 00:00:00;2014-01-10 00:00:00;2014-01-08 00:00:00
2014-01-07 00:00:00;SO488597;C0005;CS003;503;2014-03-04 00:00:00;2014-02-26 00:00:00;2014-01-09 00:00:00;2014-01-03 00:00:00
2014-01-07 00:00:00;SO328801;C0007;VS003;754;2014-03-11 00:00:00;2014-03-19 00:00:00;2014-01-10 00:00:00;2014-01-18 00:00:00
2014-01-07 00:00:00;SO328801;C0007;AT002;799;2014-03-11 00:00:00;2014-03-12 00:00:00;2014-01-10 00:00:00;2014-01-11 00:00:00
2014-01-07 00:00:00;SO328801;C0007;AS001;744;2014-03-11 00:00:00;2014-03-09 00:00:00;2014-01-10 00:00:00;2014-01-08 00:00:00
2014-01-07 00:00:00;SO488597;C0005;AS001;708;2014-03-04 00:00:00;2014-03-08 00:00:00;2014-01-09 00:00:00;2014-01-13 00:00:00
2014-01-07 00:00:00;SO259411;C0016;VS002;731;2014-01-21 00:00:00;2014-01-23 00:00:00;2014-01-11 00:00:00;2014-01-13 00:00:00
2014-01-07 00:00:00;SO488597;C0005;CT003;882;2014-03-04 00:00:00;2014-03-10 00:00:00;2014-01-09 00:00:00;2014-01-15 00:00:00
2014-01-07 00:00:00;SO259411;C0016;AS003;400;2014-01-21 00:00:00;2014-01-26 00:00:00;2014-01-11 00:00:00;2014-01-16 00:00:00
2014-01-07 00:00:00;SO259411;C0016;AS001;337;2014-01-21 00:00:00;2014-01-16 00:00:00;2014-01-11 00:00:00;2014-01-06 00:00:00
2014-01-07 00:00:00;SO328801;C0007;CS002;744;2014-03-11 00:00:00;2014-03-15 00:00:00;2014-01-10 00:00:00;2014-01-14 00:00:00
2014-01-07 00:00:00;SO259411;C0016;CS003;738;2014-01-21 00:00:00;2014-01-11 00:00:00;2014-01-11 00:00:00;2014-01-01 00:00:00
